,QCDate,ProductNo
0,2020-02-03,G1969-85026-X
1,2020-02-03,G1969-85026-X
2,2020-02-03,G1969-85026-X
3,2020-02-03,G1969-85026-X
4,2020-02-03,G1969-85026-X
5,2020-02-03,G1969-85026-X
6,2020-02-03,G1969-85026-X
7,2020-02-03,G1969-85026-X
8,2020-02-03,G1969-85026-X
9,2020-02-03,G1969-85026-X
10,2020-02-03,G1969-85026-X
11,2020-02-03,G1969-85026-X
12,2020-02-03,G1969-85026-X
13,2020-02-03,G1969-85026-X
14,2020-02-03,G1969-85026-X
15,2020-02-03,G1969-85026-X
16,2020-02-03,G1969-85026-X
17,2020-02-03,G1969-85026-X
18,2020-02-03,G1969-85026-X
19,2020-02-03,G1969-85026-X
20,2020-02-03,G1969-85026-X
21,2020-02-03,G1969-85026-X
22,2020-02-03,G1969-85026-X
23,2020-02-03,G1969-85026-X
24,2020-02-03,G1969-85026-X
25,2020-02-03,G1969-85026-X
26,2020-02-03,G1969-85026-X
27,2020-02-03,G1969-85026-X
28,2020-02-03,G1969-85026-X
29,2020-02-03,G1969-85026-X
30,2020-02-03,G1969-85026-X
31,2020-02-03,G1969-85026-X
32,2020-02-03,G1969-85026-X
33,2020-02-03,G1969-85026-X
34,2020-02-03,G1969-85026-X
35,2020-02-03,G1969-85026-X
36,2020-02-03,G1969-85026-X
37,2020-02-03,G1969-85026-X
38,2020-02-03,G1969-85026-X
39,2020-02-03,G1969-85026-X
40,2020-02-03,G1969-85026-X
41,2020-02-03,G1969-85026-X
42,2020-02-03,G1969-85026-X
43,2020-02-03,G1969-85026-X
44,2020-02-03,G1969-85026-X
45,2020-02-03,G1969-85026-X
46,2020-02-03,G1969-85026-X
47,2020-02-03,G1969-85026-X
48,2020-02-03,G1969-85026-X
49,2020-02-03,G1969-85026-X
50,2020-02-03,G1969-85026-X
51,2020-02-03,G1969-85026-X
52,2020-02-03,G1969-85026-X
53,2020-02-03,G1969-85026-X
54,2020-02-03,G1969-85026-X
55,2020-02-03,G1969-85026-X
56,2020-02-03,G1969-85026-X
57,2020-02-03,G1969-85026-X
58,2020-02-03,G1969-85026-X
59,2020-02-03,G1969-85026-X
60,2020-02-03,G1969-85026-X
61,2020-02-03,G1969-85026-X
62,2020-02-03,G1969-85026-X
63,2020-02-03,G1969-85026-X
64,2020-02-03,G1969-85026-X
65,2020-02-03,G1969-85026-X
66,2020-02-03,G1969-85026-X
67,2020-02-03,G1969-85026-X
68,2020-02-03,G1969-85026-X
69,2020-02-03,G1969-85026-X
70,2020-02-03,G1969-85026-X
71,2020-02-03,G1969-85026-X
72,2020-02-03,G1969-85026-X
73,2020-02-03,G1969-85026-X
74,2020-02-03,G1969-85026-X
75,2020-02-03,G1969-85026-X
76,2020-02-03,G1969-85026-X
77,2020-02-03,G1969-85026-X
78,2020-02-03,G1969-85026-X
79,2020-02-03,G1969-85026-X
80,2020-02-03,G1969-85026-X
81,2020-02-03,G1969-85026-X
82,2020-02-03,G1969-85026-X
83,2020-02-03,G1969-85026-X
84,2020-02-03,G1969-85026-X
85,2020-02-03,G1969-85026-X
86,2020-02-03,G1969-85026-X
87,2020-02-03,G1969-85026-X
88,2020-02-03,G1969-85026-X
89,2020-02-03,G1969-85026-X
90,2020-02-03,G1969-85026-X
91,2020-02-03,G1969-85026-X
92,2020-02-03,G1969-85026-X
93,2020-02-03,G1969-85026-X
94,2020-02-03,G1969-85026-X
95,2020-02-03,G1969-85026-X
96,2020-02-03,G1969-85026-X
97,2020-02-03,G1969-85026-X
98,2020-02-03,G1969-85026-X
99,2020-02-03,G1969-85026-X
100,2020-02-03,G1969-85026-X
101,2020-02-03,G1969-85026-X
102,2020-02-03,G1969-85026-X
103,2020-02-03,G1969-85026-X
104,2020-02-03,G1969-85026-X
105,2020-02-03,G1969-85026-X
106,2020-02-03,G1969-85026-X
107,2020-02-03,G1969-85026-X
108,2020-02-03,G1969-85026-X
109,2020-02-03,G1969-85026-X
110,2020-02-03,G1969-85026-X
111,2020-02-03,G1969-85026-X
112,2020-02-03,G1969-85026-X
113,2020-02-03,G1969-85026-X
114,2020-02-03,G1969-85026-X
115,2020-02-03,G1969-85026-X
116,2020-02-03,G1969-85026-X
117,2020-02-03,G1969-85026-X
118,2020-02-03,G1969-85026-X
119,2020-02-03,G1969-85026-X
120,2020-02-03,G1969-85026-X
121,2020-02-03,G1969-85026-X
122,2020-02-03,G1969-85026-X
123,2020-02-03,G1969-85026-X
124,2020-02-03,G1969-85026-X
125,2020-02-03,G1969-85026-X
126,2020-02-03,G1969-85026-X
127,2020-02-03,G1969-85026-X
128,2020-02-03,G1969-85026-X
129,2020-02-03,G1969-85026-X
130,2020-02-03,G1969-85026-X
131,2020-02-03,G1969-85026-X
132,2020-02-03,G1969-85026-X
133,2020-02-03,G1969-85026-X
134,2020-02-03,G1969-85026-X
135,2020-02-03,G1969-85026-X
136,2020-02-03,G1969-85026-X
137,2020-02-03,G1969-85026-X
138,2020-02-03,G1969-85026-X
139,2020-02-03,G1969-85026-X
140,2020-02-03,G1969-85026-X
141,2020-02-03,G1969-85026-X
142,2020-02-03,G1969-85026-X
143,2020-02-03,G1969-85026-X
144,2020-02-03,G1969-85026-X
145,2020-02-03,G1969-85026-X
146,2020-02-03,G1969-85026-X
147,2020-02-03,G1969-85026-X
148,2020-02-03,G1969-85026-X
149,2020-02-03,G1969-85026-X
150,2020-02-03,G1969-85026-X
151,2020-02-03,G1969-85026-X
152,2020-02-03,G1969-85026-X
153,2020-02-03,G1969-85026-X
154,2020-02-03,G1969-85026-X
155,2020-02-03,G1969-85026-X
156,2020-02-03,G1969-85026-X
157,2020-02-03,G1969-85026-X
158,2020-02-03,G1969-85026-X
159,2020-02-03,G1969-85026-X
160,2020-02-03,G1969-85026-X
161,2020-02-03,G1969-85026-X
162,2020-02-03,G1969-85026-X
163,2020-02-03,G1969-85026-X
164,2020-02-03,G1969-85026-X
165,2020-02-03,G1969-85026-X
166,2020-02-03,G1969-85026-X
167,2020-02-03,G1969-85026-X
168,2020-02-03,G1969-85026-X
169,2020-02-03,G1969-85026-X
170,2020-02-03,G1969-85026-X
171,2020-02-03,G1969-85026-X
172,2020-02-03,G1969-85026-X
173,2020-02-03,G1969-85026-X
174,2020-02-03,G1969-85026-X
175,2020-02-03,G1969-85026-X
176,2020-02-03,G1969-85026-X
177,2020-02-03,G1969-85026-X
178,2020-02-03,G1969-85026-X
179,2020-02-03,G1969-85026-X
180,2020-02-03,G1969-85026-X
181,2020-02-03,G1969-85026-X
182,2020-02-03,G1969-85026-X
183,2020-02-03,G1969-85026-X
184,2020-02-03,G1969-85026-X
185,2020-02-03,G1969-85026-X
186,2020-02-03,G1969-85026-X
187,2020-02-03,G1969-85026-X
188,2020-02-03,G1969-85026-X
189,2020-02-03,G1969-85026-X
190,2020-02-03,G1969-85026-X
191,2020-02-03,G1969-85026-X
192,2020-02-03,G1969-85026-X
193,2020-02-03,G1969-85026-X
194,2020-02-03,G1969-85026-X
195,2020-02-03,G1969-85026-X
196,2020-02-03,G1969-85026-X
197,2020-02-03,G1969-85026-X
198,2020-02-03,G1969-85026-X
199,2020-02-03,G1969-85026-X
200,2020-02-03,G1969-85026-X
201,2020-02-03,G1969-85026-X
202,2020-02-03,G1969-85026-X
203,2020-02-03,G1969-85026-X
204,2020-02-03,G1969-85026-X
205,2020-02-03,G1969-85026-X
206,2020-02-03,G1969-85026-X
207,2020-02-03,G1969-85026-X
208,2020-02-03,G1969-85026-X
209,2020-02-03,G1969-85026-X
210,2020-02-03,G1969-85026-X
211,2020-02-03,G1969-85026-X
212,2020-02-03,G1969-85026-X
213,2020-02-03,G1969-85026-X
214,2020-02-03,G1969-85026-X
