QCDate,QCValidation,PfBatchID
2019-11-01,1.0,17
2019-11-01,2.0,2
2019-11-04,1.0,16
2019-11-04,2.0,1
2019-11-04,3.0,2
2019-11-05,1.0,25
2019-11-06,1.0,21
2019-11-06,2.0,2
2019-11-07,1.0,35
2019-11-08,1.0,25
2019-11-11,1.0,23
2019-11-11,3.0,2
2019-11-12,1.0,34
2019-11-13,1.0,25
2019-11-13,3.0,1
2019-11-14,1.0,30
2019-11-14,2.0,2
2019-11-15,1.0,14
2019-11-18,1.0,24
2019-11-18,2.0,4
2019-11-19,1.0,22
2019-11-19,2.0,1
2019-11-20,1.0,35
2019-11-21,1.0,35
2019-11-21,2.0,1
2019-11-22,1.0,23
2019-11-25,1.0,26
2019-11-26,1.0,22
2019-11-27,1.0,17
