QCDate,QCValidation,PfBatchID
2020-01-15,1.0,18
2020-01-15,2.0,1
2020-01-16,1.0,28
2020-01-16,2.0,1
2020-01-17,1.0,16
2020-01-17,2.0,1
2020-01-21,1.0,29
2020-01-21,2.0,2
2020-01-22,1.0,43
2020-01-23,1.0,18
2020-01-23,2.0,1
2020-01-24,1.0,23
2020-01-24,2.0,1
2020-01-25,1.0,3
2020-01-27,1.0,35
2020-01-28,1.0,14
2020-01-29,1.0,24
2020-01-30,1.0,21
2020-01-30,2.0,1
2020-01-31,1.0,8
2020-02-03,1.0,10
2020-02-03,2.0,1
2020-02-03,3.0,2
2020-02-04,1.0,33
2020-02-05,1.0,23
2020-02-05,3.0,1
2020-02-06,1.0,41
2020-02-06,3.0,1
2020-02-07,1.0,29
2020-02-07,2.0,3
2020-02-08,1.0,2
2020-02-10,1.0,47
2020-02-11,1.0,41
2020-02-12,1.0,25
2020-02-13,1.0,33
2020-02-13,3.0,1
2020-02-14,1.0,4
