,Count,Count,Count
ProductLevel,1.0,2.0,3.0
QCDate,,,
2020-01-28,8.0,2.0,
2020-01-29,10.0,9.0,
2020-01-30,11.0,4.0,1.0
2020-01-31,2.0,5.0,
2020-02-03,4.0,4.0,2.0
2020-02-04,19.0,8.0,
2020-02-05,6.0,15.0,1.0
2020-02-06,20.0,14.0,2.0
2020-02-07,7.0,20.0,
2020-02-10,24.0,18.0,1.0
2020-02-11,24.0,16.0,
2020-02-12,10.0,9.0,
2020-02-13,7.0,24.0,1.0
2020-02-14,15.0,5.0,
2020-02-18,8.0,19.0,1.0
2020-02-19,21.0,13.0,
2020-02-20,8.0,16.0,
2020-02-21,10.0,25.0,
2020-02-24,9.0,4.0,2.0
2020-02-25,7.0,22.0,
2020-02-26,13.0,13.0,4.0
2020-02-27,19.0,6.0,
