,Count,Count,Count
QCValidation,1.0,2.0,3.0
QCDate,,,
2020-01-15,18.0,1.0,
2020-01-16,28.0,1.0,
2020-01-17,16.0,1.0,
2020-01-21,29.0,2.0,
2020-01-22,43.0,,
2020-01-23,18.0,1.0,
2020-01-24,23.0,1.0,
2020-01-25,3.0,,
2020-01-27,35.0,,
2020-01-28,14.0,,
2020-01-29,24.0,,
2020-01-30,21.0,1.0,
2020-01-31,8.0,,
2020-02-03,10.0,1.0,2.0
2020-02-04,33.0,,
2020-02-05,23.0,,1.0
2020-02-06,41.0,,1.0
2020-02-07,29.0,3.0,
2020-02-08,2.0,,
2020-02-10,47.0,,
2020-02-11,41.0,,
2020-02-12,25.0,,
2020-02-13,33.0,,1.0
2020-02-14,4.0,,
