QCDate,QCValidation,PfBatchID
2019-12-02,1.0,20
2019-12-02,2.0,1
2019-12-03,1.0,15
2019-12-03,2.0,2
2019-12-03,3.0,1
2019-12-04,1.0,21
2019-12-04,2.0,3
2019-12-05,1.0,18
2019-12-06,1.0,15
2019-12-09,1.0,21
2019-12-09,2.0,2
2019-12-10,1.0,38
2019-12-11,1.0,19
2019-12-11,2.0,1
2019-12-12,1.0,27
2019-12-13,1.0,27
2019-12-14,1.0,1
2019-12-16,1.0,28
2019-12-16,2.0,2
2019-12-17,1.0,22
2019-12-18,1.0,23
2019-12-18,2.0,1
2019-12-18,3.0,1
2019-12-19,1.0,23
2019-12-19,2.0,1
2019-12-19,3.0,1
2019-12-20,1.0,6
2019-12-23,1.0,18
2019-12-23,2.0,3
2019-12-24,1.0,4
2019-12-26,1.0,15
2019-12-27,1.0,34
2019-12-27,3.0,1
2019-12-30,1.0,49
2019-12-30,2.0,1
2019-12-31,1.0,18
2019-12-31,2.0,1
