QCDate,ProductID,ProductNo,ProductName,LineID,Description,Specials,OriginationDate,EntryDate,Status,MatrixNumber,Components,Availability,EquivalentSoln,EquivalentNeat,Packaging,Storage,ExpirationDate,ShipType,UN#,ShipClass,PackGrp,ShipSpecial,Hazard1,Hazard2,Hazard3,Prop65,MSDS,Analysis,CofAHeader,Agilent#,Tedia#,ProdNotes,MatrixNotes,RecipeId,RushPriority,IsVoided,SagePartNumber,ProductLevel,DateInserted,CofATemplate,UniqueRequestID,Test_Timestamp,PfIDNo,PfBatchID,OrdID,QuoteNo,PfSentTo,PrepDate,PrepVolume,PrepUnit,PrepVessel,PrepVBarcode,PrdSaleUnit,PrepMatrixNo,PrepMatrixLot,PrepInits,PrepMemo,PrepNotebookRef,BulkQCStatus,BulkQCDate,BulkPassFail,BulkQCInits,BulkQCMemo,BulkLotNo,AmpRetains,AmpDate,AmpPreLabel,AmpNumberGood,AmpNumberBad,AmpBulkRemain,AmpTimeIn,AmpTimeOut,AmpInits,QCStatus,QCPassFail,QCAuthInits,QCMemo,QCMethod,LotNo,QCExpMonth,QCExpDate,QCSellBy,QCFullValidation,QCValidation,FgInvCount,FgAccpacNote,CofAHeaderNo,QCChromatogram,Correct,DoNotCorrect,DensityUnit,DensityTemp,recipeid
2020-02-07,19977.0,PL-R2,Plant Denaturing Solution B,22.0,,,2006-06-12 00:00:00,2006-06-12 00:00:00,,JHP-035,1.0,,NA,NA,480 mL in 500 ML (16 oz) NM Amber Glass Bottle Bos Rnd ,Store at Room Temperature (15° to 30°C).,24.0,,,,,,,,,,,,0.0,,,,,,False, ,AG00316,1.0,,,,b'\x00\x00\x00\x00\x00!y\xe0',52629,NM03740,38592.0,Stock Item,done,2011-08-30 00:00:00,10000.0,mL,1.0,,,JHP-035,N/A,RAA,,RAA-S203-57,,2011-09-20 00:00:00,Pass,SAL,,CH-3064,0.0,2011-10-13 00:00:00,False,20.0,0.0,,1899-12-30 12:00:00,1899-12-30 12:01:00,ML,,Pass,AJL,Gravimetric,,CH-3064,24.0,2013-10-31 00:00:00,,True,2.0,20.0,,2.0,,False,True,,,
2020-01-17,16204.0,PST-1870C100,Abamectin Solution,7.0,,,2005-10-18 00:00:00,2011-05-09 00:00:00,,JHP-078,1.0,,NA,NA, ,Store at Room Temperature (15° to 30°C).,18.0,Cyclohexane solution,UN1145,3,II,,,,,,,,0.0,,,11/19 Mass Change: Product marked as void. Not a active product in SAP.,,RP-25575       ,False,VOID,PST-1870C100,1.0,,GENERIC,,b'\x00\x00\x00\x00\x00 \x82\xba',20619,NF02710,5641.0,101805-73,done,2005-10-19 00:00:00,50.0,mL,1.0,,1 mL Flame-Sealed Amber Ampule(s),JHP-078,43198,AHS,SONICATED,AHS-S44-63B,,2005-10-20 00:00:00,Pass,BEF,,CB-2536,,2005-10-20 00:00:00,False,1.0,0.0,,1899-12-30 10:25:00,1899-12-30 10:30:00,dak,PST-1870C100A01,Pass,BEF,GRAVIMETRIC,,CB-2536,18.0,2007-05-31 00:00:00,,False,1.0,1.0,50 ml in bulk,1.0,,False,True,,,
2020-01-16,56905.0,PST-810K1000,Phosphamidon Standard,1.0,"1 analyte at 1,000 µg/mL in acetone",Chem Korea,2012-05-07 00:00:00,2012-05-07 00:00:00,active,JHP-001,1.0,,NA,NA,1 mL in 2 mL Amber Ampule,Store at Room Temperature (15° to 30°C).,24.0,Acetone solution,UN1090,3,II,49 CFR 173.4 / IATA 2.6 - Small Quantity Exemption - OK,,,,,,,2.0,,,,,RP-26589       ,False,,PST-810K1000,2.0,,,,b'\x00\x00\x00\x00\x00 \x8f\xaf',57028,NN02535,43291.0,Stock Item,done,2012-05-29 00:00:00,250.0,mL,1.0,F250-000132,1 mL in 2 mL Flame-Sealed Amber Ampule(s),JHP-001,rm05416-008,DRL1,Sonicated,,,2012-05-29 00:00:00,Pass,JBS,,CJ-2084,,2012-06-01 00:00:00,False,167.0,,,1899-12-30 09:15:00,1899-12-30 09:50:00,JQ/BRM,,Fail,AKG,25% low VS 2 cals,,CJ-2084E,15.0,2015-10-31 00:00:00,,False,2.0,167.0,,2.0,,False,False,,,
2020-02-07,86934.0,QCI-700A-2,ULTRAcheck Trace Metals-Part A,3.0,,,2016-03-22 00:00:00,2016-03-22 00:00:00,,JHP-462,21.0,,NA,NA, ,Store at Room Temperature (15° to 30°C).,60.0,,,,,,,,,,,,0.0,,,,,RP-26970       ,False,,,,,,,"b""\x00\x00\x00\x00\x00 \x93'""",121947,NW10178,74440.0,Stock Item,done,2016-03-30 00:00:00,1000.0,mL,1.0,1570,10mL in 15mL Clear Nalgene,JHP-462,with batch,RAA1,"HF not actually added, it is contained in one of the stocks",,,2016-04-01 00:00:00,Pass,ejs,,CP-1551,0.0,2016-04-04 00:00:00,False,74.0,,,1899-12-30 08:30:00,1899-12-30 09:50:00,BS,,Pass,AKG,,,CP-1551,0.0,2016-05-31 00:00:00,,False,2.0,74.0,,2.0,,False,False,,,
2020-02-13,77303.0,STK-02342,NH4-Cl (ammonium chloride) Stock @ 50µg/mL,17.0,,,2014-11-19 00:00:00,2014-11-19 00:00:00,,JHP-040,1.0,,NA,NA, ,,12.0,,,,,,,,,,,,0.0,,,,,RP-57044       ,False,,,,,,,b'\x00\x00\x00\x00\x00!bs',120853,NW09084,73282.0,Stock Item,stock,2016-02-12 00:00:00,500.0,mL,1.0,1349,,JHP-040,RM05870-001,LP01,,,,,,,,,,,False,,,,,,,,pass,PREP,"Stock solution, no QC",,AST-03780,12.0,2017-03-31 00:00:00,,False,1.0,,,14.0,,True,False,,,
2020-01-22,7643.0,SVM-121-1,Semi-Volatiles Standard no. 2,1.0,8 analytes @ 2000 µg/mL in methylene chloride (dichloromethane),,1999-01-20 00:00:00,2011-05-09 00:00:00,active,JHP-031,8.0,This product usually ships within 24 - 48 hours,,,1 mL in 2 mL Amber Ampule,Store at Room Temperature (15° to 30°C).,24.0,Dichloromethane solution,UN1593,6.1,III,49 CFR 173.4 / IATA 2.6 - Small Quantity Exemption - OK,Contains carcinogen(s) or cancer suspect agent(s),Toxic; irritant,,4,Yes,GC,13.0,8500-6093 (MIX 5),VQS4431-208,,,RP-50393       ,False,,SVM-121-1,2.0,,,,b'\x00\x00\x00\x00\x00!hw',45874,NL02897,30834.0,Stock Item,done,2010-06-18 00:00:00,100.0,mL,1.0,,1 mL Flame-Sealed Amber Ampule(s),JHP-031,48191,RPM,,RPM-S28-145B,,2010-06-22 00:00:00,Pass,AJL,,CG-2275,0.0,2010-06-22 00:00:00,False,61.0,10.0,,1899-12-30 16:00:00,1899-12-30 16:20:00,DAK,,Pass,NRR,,,CG-2275,24.0,2012-07-31 00:00:00,,True,2.0,61.0,backup,2.0,,False,True,,,
2020-01-23,7724.0,WAT042881-2,Waters Absorbance Detector Linearity Calibration Kit Ampule 2,7.0,,,1996-02-02 00:00:00,2011-05-09 00:00:00,oem,JHP-021,1.0,N/A,,, ,Store at Room Temperature (15° to 30°C).,36.0,Methanol solution,UN1230,3,II,49 CFR 173.4 / IATA 2.6 - Small Quantity Exemption - OK,,,,0,Yes,N/A,3.0,,,11/19 Mass Change: Product marked as void. Not a active product in SAP.,,RP-39846       ,False,VOID,WAT042881-2,2.0,,GENERIC,,b'\x00\x00\x00\x00\x00!k\xe7',22447,NG01216,7564.0,Stock Item,done,2006-04-20 00:00:00,18000.0,mL,1.0,,ampule,JHP-021,46061,LDS,Sonicated.,LDS-S46-121B,,2006-04-24 00:00:00,Pass,BEF,,CC-1226,,2006-06-07 00:00:00,True,1704.0,10.0,,1899-12-30 13:15:00,1899-12-30 14:45:00,brm,,Pass,AJL,,,CC-1226,36.0,2009-05-31 00:00:00,,True,2.0,1621.0,current,2.0,,False,True,,,
2020-01-21,7726.0,WAT042881-4,Waters Absorbance Detector Linearity Calibration Kit Ampule 4,7.0,,,1996-02-05 00:00:00,2011-05-09 00:00:00,oem,JHP-021,1.0,N/A,,, ,Store at Room Temperature (15° to 30°C).,36.0,Methanol solution,UN1230,3,II,49 CFR 173.4 / IATA 2.6 - Small Quantity Exemption - OK,,,,0,Yes,N/A,3.0,,,11/19 Mass Change: Product marked as void. Not a active product in SAP.,,RP-39848       ,False,VOID,WAT042881-4,2.0,,GENERIC,,b'\x00\x00\x00\x00\x00!k\xe9',7181,NB990627,,Prodflow I,done,1999-04-16 00:00:00,4000.0,mL,1.0,,ampule,JHP-021,38205,LDS,"LDS-S35-189B
Batch #2
Made from stock",LDS-S35-189B,,,,,,,,1999-05-13 00:00:00,False,318.0,0.0,,1899-12-30 03:40:00,1899-12-30 04:30:00,Z&S,,PASS,CTK,,,P-0789,,,,False,1.0,,,2.0,,False,True,,,
2020-01-16,79202.0,WRK-105R,1-Isopulegol Standard,1.0,,,2015-02-17 00:00:00,2015-02-17 00:00:00,,JHP-090,1.0,,,,2 mL in 4 mL Amber Screw Cap Vial,Store at Room Temperature (15° to 30°C).,36.0,,,,,,,,,,,,,,,,,RP-58010       ,False,,WRK-105R,1.0,,,,b'\x00\x00\x00\x00\x00!l0',120671,NW08902,73088.0,Stock Item,done,2016-02-05 00:00:00,25.0,mL,1.0,F025-000036,2 mL in 4 mL Amber Screw Cap Vial,JHP-090,RM11074-001,BMH1,,,,2016-02-05 00:00:00,Pass,GSB,,CP-0536,0.0,2016-02-05 00:00:00,False,3.0,,19.0,1899-12-30 11:54:00,1899-12-30 11:54:00,kaw,,Pass,AKG,,,CP-0536,36.0,2019-03-31 00:00:00,,False,2.0,3.0,,2.0,,False,False,,,
2020-01-21,,WAT042887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14043,NC030183,,Prodflow I,done,2003-02-07 00:00:00,4000.0,mL,1.0,,ampule,JHP-028,42205/CPMQ004R1,CFC,CFC-S22-89A,CFC-S22-89A,,,,,,,,2003-02-14 00:00:00,False,,,,,,,,FAIL,GSB,COMBINED WITH NC0130171,,,,,,False,1.0,,,2.0,,False,True,,,
