CofA,Timestamp
part CLP-200N-1 CofA Lot# 0006486938.pdf,2019-09-05 16:28:03.568612
part CLP-226B-1 CofA Lot# 0006483637.pdf,2019-09-05 16:27:45.068375
part EPA-1129-1 CofA Lot# 0006486907.pdf,2019-09-05 16:27:57.740412
part FLSA-003 CofA Lot# 0006488796.pdf,2019-09-05 07:45:51.249804
part FLSA-003 CofA Lot# 0006488876.pdf,2019-09-05 07:45:54.015465
part HC-140-1 CofA Lot# 0006486931.pdf,2019-09-05 16:28:00.381071
part ICC-008 CofA Lot# 0006488130.pdf,2019-09-05 13:42:47.429302
part ICP-422 CofA Lot# 0006483952.pdf,2019-08-28 15:47:39.183513
part IQC-102 CofA Lot# 0006488378.pdf,2019-09-05 16:23:13.755643
part ISM-281-1 CofA Lot# 0006488375.pdf,2019-09-05 16:28:06.318647
part NAIM-833A-1 CofA Lot# 0006481187.pdf,2019-09-05 16:27:40.630818
part PP-200-1 CofA Lot# 0006483647.pdf,2019-09-05 16:27:48.224665
part PST-2190-10MG CofA Lot# 0006487882.pdf,2019-09-05 07:44:48.624003
part PST-2340-10MG CofA Lot# 0006487886.pdf,2019-09-05 07:44:51.295912
part PST-2365-10MG CofA Lot# 0006487887.pdf,2019-09-05 07:44:54.014697
part PST-2405-10MG CofA Lot# 0006487888.pdf,2019-09-05 07:44:56.655355
part PST-2430-10MG CofA Lot# 0006487889.pdf,2019-09-05 07:44:59.327265
part PST-2435-10MG CofA Lot# 0006487890.pdf,2019-09-05 07:45:02.077300
part PST-2525-10MG CofA Lot# 0006487891.pdf,2019-09-05 07:45:04.983587
part PST-2555-10MG CofA Lot# 0006487892.pdf,2019-09-05 07:45:07.733622
part PST-2575-10MG CofA Lot# 0006487893.pdf,2019-09-05 07:45:10.546158
part PST-2580-10MG CofA Lot# 0006487894.pdf,2019-09-05 07:45:13.296194
part PST-2615-10MG CofA Lot# 0006487895.pdf,2019-09-05 07:45:16.046229
part PST-2630-10MG CofA Lot# 0006487896.pdf,2019-09-05 07:45:18.921266
part PST-2685-10MG CofA Lot# 0006487897.pdf,2019-09-05 07:45:21.655675
part PST-2925-10MG CofA Lot# 0006487898.pdf,2019-09-05 07:45:24.390085
part PST-3290-10MG CofA Lot# 0006487899.pdf,2019-09-05 07:45:27.140121
part PST-3355-10MG CofA Lot# 0006487900.pdf,2019-09-05 07:45:29.827655
part PST-3400-10MG CofA Lot# 0006487901.pdf,2019-09-05 07:45:32.452689
part PST-3670-10MG CofA Lot# 0006487902.pdf,2019-09-05 07:45:35.140223
part PST-3680-10MG CofA Lot# 0006487903.pdf,2019-09-05 07:45:37.780882
part PST-380 CofA Lot# 0006487668.pdf,2019-09-05 07:44:45.952094
part PST-3925-10MG CofA Lot# 0006487904.pdf,2019-09-05 07:45:40.530917
part PST-3970-10MG CofA Lot# 0006487905.pdf,2019-09-05 07:45:43.234077
part PST-400-50MG CofA Lot# 0006484486.pdf,2019-09-05 07:43:47.232592
part PST-5025-10MG CofA Lot# 0006484646.pdf,2019-09-05 07:43:49.998252
part PST-5035-100MG CofA Lot# 0006484650.pdf,2019-09-05 07:43:58.248358
part PST-503 CofA Lot# 0006484647.pdf,2019-09-05 07:43:52.763913
part PST-503 CofA Lot# 0006484648.pdf,2019-09-05 07:43:55.513948
part PST-5065-100MG CofA Lot# 0006484651.pdf,2019-09-05 07:44:00.967143
part PST-5105-10MG CofA Lot# 0006484652.pdf,2019-09-05 07:44:03.670302
part PST-530-10MG CofA Lot# 0006484654.pdf,2019-09-05 07:44:09.982883
part PST-530 CofA Lot# 0006484653.pdf,2019-09-05 07:44:06.389087
part PST-5370-100MG CofA Lot# 0006484655.pdf,2019-09-05 07:44:13.076673
part PST-5405-100MG CofA Lot# 0006484657.pdf,2019-09-05 07:44:15.873584
part PST-5415-10MG CofA Lot# 0006484658.pdf,2019-09-05 07:44:18.701745
part PST-5745-10MG CofA Lot# 0006484659.pdf,2019-09-05 07:44:21.436155
part PST-5815-10MG CofA Lot# 0006484660.pdf,2019-09-05 07:44:24.170565
part PST-5850-10MG CofA Lot# 0006484662.pdf,2019-09-05 07:44:26.842474
part PST-5870-10MG CofA Lot# 0006484663.pdf,2019-09-05 07:44:29.561259
part PST-590 CofA Lot# 0006484665.pdf,2019-09-05 07:44:32.311294
part PST-5975-10MG CofA Lot# 0006487906.pdf,2019-09-05 07:45:45.905986
part PST-6100-10MG CofA Lot# 0006484673.pdf,2019-09-05 07:44:35.030079
part PST-6120-10MG CofA Lot# 0006484674.pdf,2019-09-05 07:44:37.748863
part PST-6225-10MG CofA Lot# 0006487907.pdf,2019-09-05 07:45:48.562270
part PST-6935A100A01 CofA Lot# 0006484233.pdf,2019-09-05 16:27:51.365331
part PST-740 CofA Lot# 0006486479.pdf,2019-09-05 07:44:40.545774
part SCA-110-1 CofA Lot# 0006488376.pdf,2019-09-05 16:28:09.365561
part SKS-111 CofA Lot# 0006478509.pdf,2019-09-05 16:27:37.021397
part US-315-1 CofA Lot# 0006486747.pdf,2019-09-05 16:27:55.131004
part US-700002341 CofA Lot# 0006487229.pdf,2019-09-05 07:44:43.202058
part 5063-6521 CofA Lot # 0006489033.pdf,2019-09-05 13:08:04.862904
part 5190-0482 CofA Lot # 0006489044.pdf,2019-09-05 13:00:52.690691
part 8500-5904 CofA Lot # 0006489086.pdf,2019-09-05 13:14:33.918412
part G1969-85001 CofA Lot # 0006489105.pdf,2019-09-05 12:51:45.591022
part G1969-85026 CofA Lot # 0006482396.pdf,2019-09-05 13:48:12.979949
part G1969-85026 CofA Lot # 0006482397.pdf,2019-09-05 13:49:16.130137
