CofA File,Timestamp
F:\APPS\CofA\CLP-200N-1@0006486938.pdf,2019-09-05 16:28:03.568612
F:\APPS\CofA\CLP-226B-1@0006483637.pdf,2019-09-05 16:27:45.068375
F:\APPS\CofA\EPA-1129-1@0006486907.pdf,2019-09-05 16:27:57.740412
F:\APPS\CofA\FLSA-003@0006488796.pdf,2019-09-05 07:45:51.249804
F:\APPS\CofA\FLSA-003@0006488876.pdf,2019-09-05 07:45:54.015465
F:\APPS\CofA\HC-140-1@0006486931.pdf,2019-09-05 16:28:00.381071
F:\APPS\CofA\ICC-008@0006488130.pdf,2019-09-05 13:42:47.429302
F:\APPS\CofA\ICP-422@0006483952.pdf,2019-08-28 15:47:39.183513
F:\APPS\CofA\IQC-102@0006488378.pdf,2019-09-05 16:23:13.755643
F:\APPS\CofA\ISM-281-1@0006488375.pdf,2019-09-05 16:28:06.318647
F:\APPS\CofA\NAIM-833A-1@0006481187.pdf,2019-09-05 16:27:40.630818
F:\APPS\CofA\PP-200-1@0006483647.pdf,2019-09-05 16:27:48.224665
F:\APPS\CofA\PST-2190-10MG@0006487882.pdf,2019-09-05 07:44:48.624003
F:\APPS\CofA\PST-2340-10MG@0006487886.pdf,2019-09-05 07:44:51.295912
F:\APPS\CofA\PST-2365-10MG@0006487887.pdf,2019-09-05 07:44:54.014697
F:\APPS\CofA\PST-2405-10MG@0006487888.pdf,2019-09-05 07:44:56.655355
F:\APPS\CofA\PST-2430-10MG@0006487889.pdf,2019-09-05 07:44:59.327265
F:\APPS\CofA\PST-2435-10MG@0006487890.pdf,2019-09-05 07:45:02.077300
F:\APPS\CofA\PST-2525-10MG@0006487891.pdf,2019-09-05 07:45:04.983587
F:\APPS\CofA\PST-2555-10MG@0006487892.pdf,2019-09-05 07:45:07.733622
F:\APPS\CofA\PST-2575-10MG@0006487893.pdf,2019-09-05 07:45:10.546158
F:\APPS\CofA\PST-2580-10MG@0006487894.pdf,2019-09-05 07:45:13.296194
F:\APPS\CofA\PST-2615-10MG@0006487895.pdf,2019-09-05 07:45:16.046229
F:\APPS\CofA\PST-2630-10MG@0006487896.pdf,2019-09-05 07:45:18.921266
F:\APPS\CofA\PST-2685-10MG@0006487897.pdf,2019-09-05 07:45:21.655675
F:\APPS\CofA\PST-2925-10MG@0006487898.pdf,2019-09-05 07:45:24.390085
F:\APPS\CofA\PST-3290-10MG@0006487899.pdf,2019-09-05 07:45:27.140121
F:\APPS\CofA\PST-3355-10MG@0006487900.pdf,2019-09-05 07:45:29.827655
F:\APPS\CofA\PST-3400-10MG@0006487901.pdf,2019-09-05 07:45:32.452689
F:\APPS\CofA\PST-3670-10MG@0006487902.pdf,2019-09-05 07:45:35.140223
F:\APPS\CofA\PST-3680-10MG@0006487903.pdf,2019-09-05 07:45:37.780882
F:\APPS\CofA\PST-380@0006487668.pdf,2019-09-05 07:44:45.952094
F:\APPS\CofA\PST-3925-10MG@0006487904.pdf,2019-09-05 07:45:40.530917
F:\APPS\CofA\PST-3970-10MG@0006487905.pdf,2019-09-05 07:45:43.234077
F:\APPS\CofA\PST-400-50MG@0006484486.pdf,2019-09-05 07:43:47.232592
F:\APPS\CofA\PST-5025-10MG@0006484646.pdf,2019-09-05 07:43:49.998252
F:\APPS\CofA\PST-5035-100MG@0006484650.pdf,2019-09-05 07:43:58.248358
F:\APPS\CofA\PST-503@0006484647.pdf,2019-09-05 07:43:52.763913
F:\APPS\CofA\PST-503@0006484648.pdf,2019-09-05 07:43:55.513948
F:\APPS\CofA\PST-5065-100MG@0006484651.pdf,2019-09-05 07:44:00.967143
F:\APPS\CofA\PST-5105-10MG@0006484652.pdf,2019-09-05 07:44:03.670302
F:\APPS\CofA\PST-530-10MG@0006484654.pdf,2019-09-05 07:44:09.982883
F:\APPS\CofA\PST-530@0006484653.pdf,2019-09-05 07:44:06.389087
F:\APPS\CofA\PST-5370-100MG@0006484655.pdf,2019-09-05 07:44:13.076673
F:\APPS\CofA\PST-5405-100MG@0006484657.pdf,2019-09-05 07:44:15.873584
F:\APPS\CofA\PST-5415-10MG@0006484658.pdf,2019-09-05 07:44:18.701745
F:\APPS\CofA\PST-5745-10MG@0006484659.pdf,2019-09-05 07:44:21.436155
F:\APPS\CofA\PST-5815-10MG@0006484660.pdf,2019-09-05 07:44:24.170565
F:\APPS\CofA\PST-5850-10MG@0006484662.pdf,2019-09-05 07:44:26.842474
F:\APPS\CofA\PST-5870-10MG@0006484663.pdf,2019-09-05 07:44:29.561259
F:\APPS\CofA\PST-590@0006484665.pdf,2019-09-05 07:44:32.311294
F:\APPS\CofA\PST-5975-10MG@0006487906.pdf,2019-09-05 07:45:45.905986
F:\APPS\CofA\PST-6100-10MG@0006484673.pdf,2019-09-05 07:44:35.030079
F:\APPS\CofA\PST-6120-10MG@0006484674.pdf,2019-09-05 07:44:37.748863
F:\APPS\CofA\PST-6225-10MG@0006487907.pdf,2019-09-05 07:45:48.562270
F:\APPS\CofA\PST-6935A100A01@0006484233.pdf,2019-09-05 16:27:51.365331
F:\APPS\CofA\PST-740@0006486479.pdf,2019-09-05 07:44:40.545774
F:\APPS\CofA\SCA-110-1@0006488376.pdf,2019-09-05 16:28:09.365561
F:\APPS\CofA\SKS-111@0006478509.pdf,2019-09-05 16:27:37.021397
F:\APPS\CofA\US-315-1@0006486747.pdf,2019-09-05 16:27:55.131004
F:\APPS\CofA\US-700002341@0006487229.pdf,2019-09-05 07:44:43.202058
