,Directory,Filename,Creation,Lot_No
0,F:\APPS\CofA,IAA-213@0006501009.pdf,2019-10-31 13:57:21.332925,IAA-213
1,F:\APPS\CofA,IAA-213@J00295.pdf,2015-03-25 09:52:01.414067,IAA-213
2,F:\APPS\CofA,IAA-213@J00695.pdf,2015-03-25 09:53:51.890875,IAA-213
3,F:\APPS\CofA,IAA-213@J00775.pdf,2015-03-25 09:54:28.504310,IAA-213
4,F:\APPS\CofA,IAA-213@M01080.pdf,2015-03-18 09:29:28.444964,IAA-213
5,F:\APPS\CofA,IAA-213@M01080A.pdf,2018-01-31 15:00:06.266510,IAA-213
6,F:\APPS\CofA,IAA-213@N083013.pdf,2017-12-18 14:05:22.511791,IAA-213
7,F:\APPS\CofA,IAA-013@E00348Z.pdf,2015-03-19 11:40:05.695007,IAA-013
8,F:\APPS\CofA,IAA-013@L00070.pdf,2015-03-19 11:52:07.828662,IAA-013
9,F:\APPS\CofA,IAA-013@M00266A.pdf,2015-03-19 11:53:38.975718,IAA-013
10,F:\APPS\CofA,IAA-013@N081833.pdf,2016-04-21 09:33:00.563495,IAA-013
11,F:\APPS\CofA,IAA-013@N082377.pdf,2017-03-02 11:54:01.424094,IAA-013
12,F:\APPS\CofA,IAA-013@N083375.pdf,2018-06-14 07:45:00.566572,IAA-013
13,F:\APPS\CofA,ICP-013@0006460811.pdf,2019-04-19 07:02:14.026922,ICP-013
14,F:\APPS\CofA,ICP-013@0006494801.pdf,2019-10-07 12:48:08.269219,ICP-013
15,F:\APPS\CofA,ICP-013@0006524764.pdf,2020-03-10 07:24:32.269675,ICP-013
16,F:\APPS\CofA,ICP-013@CM-1795.pdf,2015-04-13 12:14:44.275036,ICP-013
17,F:\APPS\CofA,ICP-013@CM-6519.pdf,2016-01-08 10:34:21.807180,ICP-013
18,F:\APPS\CofA,ICP-013@CP-5650.pdf,2016-11-15 12:37:39.258996,ICP-013
19,F:\APPS\CofA,ICP-013@CR-3807.pdf,2017-08-22 09:18:10.197016,ICP-013
20,F:\APPS\CofA,ICP-013@CS-2325.pdf,2018-05-02 10:46:38.358146,ICP-013
21,F:\APPS\CofA,ICP-013@CS-6115.pdf,2018-12-21 08:31:12.669560,ICP-013
22,F:\APPS\CofA,ICP-013@J00695.pdf,2015-04-08 16:32:07.373601,ICP-013
23,F:\APPS\CofA,ICP-013@K00797.pdf,2015-04-08 16:33:22.580001,ICP-013
24,F:\APPS\CofA,ICP-013@L00987.pdf,2015-04-08 16:34:09.083601,ICP-013
25,F:\APPS\CofA,ICP-013@R00346.pdf,2015-04-08 16:30:59.889888,ICP-013
26,F:\APPS\CofA,ICP-013@R00380.pdf,2015-03-16 12:02:29.386202,ICP-013
27,F:\APPS\CofA,ICP-113@0006471230.pdf,2019-06-04 09:51:46.272180,ICP-113
28,F:\APPS\CofA,ICP-113@CM-1334.pdf,2015-03-23 09:01:47.272445,ICP-113
29,F:\APPS\CofA,ICP-113@CP-3976.pdf,2016-08-11 06:39:39.823689,ICP-113
30,F:\APPS\CofA,ICP-113@CP-6175.pdf,2016-12-23 14:13:08.549929,ICP-113
31,F:\APPS\CofA,ICP-113@CR-2215.pdf,2017-05-11 14:48:17.090395,ICP-113
32,F:\APPS\CofA,ICP-113@CS-0687.pdf,2018-02-14 12:15:41.281306,ICP-113
33,F:\APPS\CofA,ICP-113@CS-5087.pdf,2018-10-22 14:01:11.236212,ICP-113
34,F:\APPS\CofA,ICP-113@K00931.pdf,2015-04-22 11:57:23.397332,ICP-113
35,F:\APPS\CofA,ICP-113@M00266.pdf,2015-04-22 11:58:01.120132,ICP-113
36,F:\APPS\CofA,ICP-113@M00266A.pdf,2015-04-22 11:58:35.550332,ICP-113
37,F:\APPS\CofA,ICP-113@M00266B.pdf,2015-04-22 11:59:15.691132,ICP-113
38,F:\APPS\CofA,ICP-113@T00030.pdf,2015-03-13 12:27:52.232065,ICP-113
39,F:\APPS\CofA,ICP-313@AU-00009.pdf,2015-03-30 07:48:19.030000,ICP-313
40,F:\APPS\CofA,ICP-313@AU-00893.pdf,2015-08-25 14:44:03.287064,ICP-313
41,F:\APPS\CofA,ICP-313@AU-01102.pdf,2018-03-26 15:20:13.851521,ICP-313
42,F:\APPS\CofA,ICP-413@0006505693.pdf,2019-12-11 17:37:16.276735,ICP-413
43,F:\APPS\CofA,ICP-413@AU-00042.pdf,2015-03-13 11:43:54.748000,ICP-413
44,F:\APPS\CofA,ICP-413@AU-01119.pdf,2017-02-24 14:53:54.876647,ICP-413
45,F:\APPS\CofA,ICP-413@AU-01252.pdf,2018-05-03 11:51:56.458451,ICP-413
46,F:\APPS\CofA,IAA-251@0006522386.pdf,2020-02-21 15:18:07.763401,IAA-251
47,F:\APPS\CofA,IAA-251@CL-3448.pdf,2015-03-26 13:29:50.062998,IAA-251
48,F:\APPS\CofA,IAA-251@CS-6314.pdf,2019-01-02 14:01:55.617777,IAA-251
49,F:\APPS\CofA,IAA-251@J00297.pdf,2015-03-26 13:30:59.803376,IAA-251
50,F:\APPS\CofA,IAA-251@J01034.pdf,2015-03-26 13:31:57.336176,IAA-251
51,F:\APPS\CofA,IAA-251@K00435.pdf,2015-03-26 13:32:41.530976,IAA-251
52,F:\APPS\CofA,IAA-251@L01286.pdf,2015-03-26 13:33:31.045376,IAA-251
53,F:\APPS\CofA,IAA-251@N081572.pdf,2016-01-06 06:48:27.525923,IAA-251
54,F:\APPS\CofA,IAA-251@N081901.pdf,2016-06-10 10:00:45.882184,IAA-251
55,F:\APPS\CofA,IAA-251@N082580.pdf,2017-05-17 13:24:21.900615,IAA-251
56,F:\APPS\CofA,IAA-251@N083085.pdf,2018-01-17 10:37:38.254621,IAA-251
57,F:\APPS\CofA,IAA-251@N083309.pdf,2018-04-20 07:39:37.309729,IAA-251
58,F:\APPS\CofA,IAA-251@N083681.pdf,2019-01-03 10:26:49.849442,IAA-251
59,F:\APPS\CofA,IAA-251@R01127.pdf,2015-03-26 13:30:07.266013,IAA-251
60,F:\APPS\CofA,IAA-051@J00330.pdf,2015-03-24 13:36:04.993785,IAA-051
61,F:\APPS\CofA,IAA-051@K00854.pdf,2015-03-24 13:37:45.380183,IAA-051
62,F:\APPS\CofA,IAA-051@N081551.pdf,2016-01-04 14:51:02.294985,IAA-051
63,F:\APPS\CofA,IAA-051@P01188.pdf,2016-11-18 14:54:16.838992,IAA-051
64,F:\APPS\CofA,IAA-051@R01338.pdf,2015-03-24 13:35:00.450121,IAA-051
65,F:\APPS\CofA,ICP-051@0006495344.pdf,2019-10-14 14:31:04.880655,ICP-051
66,F:\APPS\CofA,ICP-051@CL-3448.pdf,2015-03-26 16:38:04.237731,ICP-051
67,F:\APPS\CofA,ICP-051@CM-3845.pdf,2015-07-17 14:37:05.513303,ICP-051
68,F:\APPS\CofA,ICP-051@CP-2630.pdf,2016-05-31 09:54:47.897044,ICP-051
69,F:\APPS\CofA,ICP-051@CR-2078.pdf,2017-05-05 10:23:25.400524,ICP-051
70,F:\APPS\CofA,ICP-051@CR-4931.pdf,2017-10-26 14:43:20.813751,ICP-051
71,F:\APPS\CofA,ICP-051@CS-0860.pdf,2018-03-01 13:56:32.065777,ICP-051
72,F:\APPS\CofA,ICP-051@CS-6208.pdf,2018-12-21 07:54:04.939288,ICP-051
73,F:\APPS\CofA,ICP-051@J00297.pdf,2015-04-16 11:05:37.207683,ICP-051
74,F:\APPS\CofA,ICP-051@J01034.pdf,2015-04-16 11:06:11.856283,ICP-051
75,F:\APPS\CofA,ICP-051@K00435.pdf,2015-04-16 11:06:46.974883,ICP-051
76,F:\APPS\CofA,ICP-051@L01286.pdf,2015-04-16 11:07:26.242083,ICP-051
77,F:\APPS\CofA,ICP-051@R01127.pdf,2015-06-29 16:30:40.666888,ICP-051
78,F:\APPS\CofA,ICP-151@0006496354.pdf,2019-10-14 07:31:59.352574,ICP-151
79,F:\APPS\CofA,ICP-151@CL-4073.pdf,2014-10-21 12:05:14.528953,ICP-151
80,F:\APPS\CofA,ICP-151@CP-2412.pdf,2016-05-18 07:57:41.671579,ICP-151
81,F:\APPS\CofA,ICP-151@CR-2356.pdf,2018-01-08 12:30:21.739724,ICP-151
82,F:\APPS\CofA,ICP-151@CR-5822.pdf,2017-12-14 13:02:43.698159,ICP-151
83,F:\APPS\CofA,ICP-151@CS-6114.pdf,2018-12-19 08:20:24.993269,ICP-151
84,F:\APPS\CofA,ICP-151@G00539A.pdf,2015-04-28 17:34:52.926346,ICP-151
85,F:\APPS\CofA,ICP-151@J00330.pdf,2015-04-28 17:36:18.136546,ICP-151
86,F:\APPS\CofA,ICP-151@K00312.pdf,2015-04-28 17:36:42.989346,ICP-151
87,F:\APPS\CofA,ICP-151@K00854.pdf,2015-04-28 17:37:05.940946,ICP-151
88,F:\APPS\CofA,ICP-151@L01227.pdf,2015-04-28 17:37:38.316946,ICP-151
89,F:\APPS\CofA,ICP-151@P01041.pdf,2015-04-28 17:38:13.202546,ICP-151
90,F:\APPS\CofA,ICP-151@P01188.pdf,2015-04-28 17:38:39.571546,ICP-151
91,F:\APPS\CofA,ICP-151@R01338.pdf,2015-04-01 10:55:38.840158,ICP-151
92,F:\APPS\CofA,ICP-351@AU-00032.pdf,2015-04-20 15:17:45.334716,ICP-351
93,F:\APPS\CofA,ICP-351@AU-00901.pdf,2015-09-11 10:40:54.117055,ICP-351
94,F:\APPS\CofA,ICP-351@AU-01006.pdf,2017-07-25 08:59:54.254290,ICP-351
95,F:\APPS\CofA,ICP-451@0006517000.pdf,2020-02-13 15:55:42.048736,ICP-451
96,F:\APPS\CofA,ICP-451@AU-00065.pdf,2017-09-29 15:50:45.996543,ICP-451
97,F:\APPS\CofA,ICP-451@AU-01191.pdf,2017-10-04 16:16:08.475000,ICP-451
98,F:\APPS\CofA,ICP-033@CM-3990.pdf,2018-02-01 12:55:04.542563,ICP-033
99,F:\APPS\CofA,ICP-033@CR-6003.pdf,2017-12-28 09:08:55.892870,ICP-033
100,F:\APPS\CofA,ICP-033@CT-0993.pdf,2019-03-07 11:13:24.957207,ICP-033
101,F:\APPS\CofA,ICP-033@J00229.pdf,2015-04-14 16:51:19.949708,ICP-033
102,F:\APPS\CofA,ICP-033@J00525.pdf,2015-04-14 16:52:55.531295,ICP-033
103,F:\APPS\CofA,ICP-033@J01103.pdf,2015-04-14 16:54:15.153721,ICP-033
104,F:\APPS\CofA,ICP-033@L00431.pdf,2015-04-14 16:55:20.893838,ICP-033
105,F:\APPS\CofA,ICP-033@L00431A.pdf,2015-04-14 16:56:15.011891,ICP-033
106,F:\APPS\CofA,ICP-033@P01262.pdf,2015-04-14 16:58:14.888654,ICP-033
107,F:\APPS\CofA,ICP-033@P01274.pdf,2015-04-14 16:59:01.705954,ICP-033
108,F:\APPS\CofA,ICP-033@R00893.pdf,2015-03-18 09:35:07.772272,ICP-033
109,F:\APPS\CofA,ICP-133@0006512729.pdf,2020-01-27 12:23:57.594273,ICP-133
110,F:\APPS\CofA,ICP-133@CM-2913.pdf,2015-05-26 14:46:15.297179,ICP-133
111,F:\APPS\CofA,ICP-133@CM-6484.pdf,2015-12-29 07:08:37.409609,ICP-133
112,F:\APPS\CofA,ICP-133@CP-5391.pdf,2016-10-27 15:38:00.386000,ICP-133
113,F:\APPS\CofA,ICP-133@CR-5568.pdf,2017-12-04 14:48:35.059432,ICP-133
114,F:\APPS\CofA,ICP-133@CS-5634.pdf,2018-11-21 07:55:21.382245,ICP-133
